personLabel,placeLabel,countryLabel,organisationLabel,orgnPlaceLabel,orgnCountryLabel,univLabel,founded
Magnus Gabriel De la Gardie,Tallinn,Estland,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Nils Peter Angelin,Lunds domkyrkoförsamling,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Stellan Arvidson,Vänersborgs församling,Sverige,Greifswalds universitet,Greifswald,Tyskland,Lunds universitet,1666-12-19T00:00:00Z
Helge von Koch,Stockholm,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Göran Andersson,Malmö,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Erik Stensiö,Oskarshamn,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Olof Celsius den äldre,Uppsala domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Rolf Sievert,Stockholm,Sverige,Karolinska Institutet,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Gunnar Andersson,Knista församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Göran Andersson,Malmö,Sverige,ETH Zürich,Zürich,Schweiz,Lunds universitet,1666-12-19T00:00:00Z
Tor Andræ,Vena församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Knut Wicksell,Maria Magdalena församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Tor Andræ,Vena församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Helge von Koch,Stockholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gunnar Helén,Vingåker,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hilding Kjellman,Uppsala domkyrkoförsamling,Sverige,Göteborgs högskola,Göteborg,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hilding Kjellman,Uppsala domkyrkoförsamling,Sverige,Högre lärarinneseminariet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Peter Englund,Boden,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl August Hagberg,Lunds domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl-Gustav Esseen,Linköping,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Peter Forsskål,Helsingfors,Finland,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Peter Thunberg,Jönköping,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gerard De Geer,Stockholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Frans Michael Franzén,Uleåborg,Finland,Kungliga Akademien i Åbo,Åbo,Finland,Uppsala universitet,1477-01-01T00:00:00Z
Jakob Ulvsson,Uppland,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Herman Schultz,Nykvarn,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johannes Rudbeckius,Almby församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Theodor Magnus Fries,Femsjö församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Lennart Eberson,Malmö,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
